distribution_of_energy_sources;2016;2017;2018;2019;2020;2021;2022;value_in_percentage
Renewable energy;29,20;33,10;35;33,10;44,10;40,90;46;yes
Wind;;;;20,70;23;19,50;22;yes
Lignite;23;22,70;22,50;18,70;16;18,70;20,10;yes
Natural gas;12,50;13,30;12,90;14,80;16,50;15,70;13,30;yes
Hard coal;17,20;14,30;12,90;9,50;7,40;9,30;11,30;yes
Solar PV;;;;7,40;8,60;8,40;10,40;yes
Biomass;;;;7,30;7,80;7,50;7,50;yes
Nuclear;13;11,70;11,80;12,30;11,20;11,70;6,50;yes
Hydro and pumped storage;;;;3,30;3,30;3,30;2,90;yes
Municipal waste;;;;1;1;1;1;yes
Petroleum products;0,90;0,90;0,80;0,80;0,80;0,80;0,80;yes
Geothermal;;;;;;;0,10;yes
Other sources;4,20;4;4,10;4,20;4,30;4,20;4,10;yes
